Question,Golden reponse
mal de tête,"Des médicaments en vente libre peuvent être utilisés pour soulager les symptômes de la maladie à coronavirus (COVID‑19). Avant d’en faire usage, lisez attentivement les étiquettes et respectez les doses recommandées. **Il est fortement recommandé de demander conseil à votre pharmacien** avant d’utiliser des médicaments en vente libre en présence de symptômes. Évitez de prendre en même temps des produits qui contiennent les mêmes ingrédients comme du Tylenol MD et du Tylenol sinus [...]",1
"Location de chalets, Airbnb et autres","Non. Seuls les travaux en vue de la prise de possession d’une unité d’habitation résidentielle sont permis. Par ailleurs, la location de chalets et autres habitations de villégiature semblables n’est toujours pas permise. Par « prise de possession », on entend :",1
puis-je passer mon examen de conduite?,Les épreuves ministérielles n’auront pas lieu. Le passage des élèves au niveau suivant sera basé sur le jugement professionnel de l’enseignant de l’élève en fonction des résultats des deux premières étapes.,0.664
est-ce que je peux aller à la pharmacie?,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec accès extérieur) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la COVID-19](https://www.quebec.ca/sante/proble [...]",0.159
comment faire pour me faire tester? ,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.142
quand les écoles vont rouvrir,"Les commerces de détail ayant une entrée extérieure pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 11 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure doivent rester fermés jusqu’à nouvel ordre.
Pour connaître la liste complète des municipalités faisant partie de la communauté mé [...]",0.582
j'aimerait savoir qu'elle est le ratio en garderie familial subventioné pour 9 enfants,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.229
peut-on aller visiter montréal si on habite l'estrie?,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.319
est-ce que le port d’un masque est obligatoire dans l’autobus ,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.412
comment nous protéger de la covid-19?,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de quelques heures à plusieurs jours. Cela dépend notamment du type de surface (par exemple : cuivre, carton, acier inoxydable, plastique), de la température et de l’humidité ambiante.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
 [...]",0.352
quand ma garderie ouvrira-t-elle?,"Depuis le 13 mars 2020, les visites dans les CHSLD sont interdites afin de protéger les personnes les plus vulnérables ainsi que les travailleuses et travailleurs du réseau de la santé et des services sociaux, sauf pour des raisons humanitaires.
Ainsi, dans le cas de la fin de vie imminente, la présence d’une ou deux personnes significatives auprès de la personne est permise.",0.121
peut-on aller voir un ami chez lui?,Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.206
ouverture des bureau saaq ?,"Les commerces de détail ayant une entrée extérieure pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 11 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure doivent rester fermés jusqu’à nouvel ordre.
Pour connaître la liste complète des municipalités faisant partie de la communauté mé [...]",0.491
entretien ménage permis ,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.241
est-ce que je peux recevoir des colis à la maison?,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de :
*   3 heures sur les objets avec surfaces sèches;
*   6 jours sur les objets avec surfaces humides.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
*   Pour nettoyer, utilisez de l’eau et du savon ou des produits de nettoyage a [...]",0.481
est-ce que je peux me promener en voiture ,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.396
quoi faire pour obtenir de l'aide psychologique? ,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.544
j'ai mal à la tête,"Des médicaments en vente libre peuvent être utilisés pour soulager les symptômes de la maladie à coronavirus (COVID‑19). Avant d’en faire usage, lisez attentivement les étiquettes et respectez les doses recommandées. **Il est fortement recommandé de demander conseil à votre pharmacien** avant d’utiliser des médicaments en vente libre en présence de symptômes. Évitez de prendre en même temps des produits qui contiennent les mêmes ingrédients comme du Tylenol MD et du Tylenol sinus [...]",0.471
"puis-je recevoir mes amis dans ma cour, à l'extérieur de ma maison?","Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.257
quelles sont les programmes d'aide disponible?,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.156
puis-je prendre l'autobus sans risque?,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.86
quelles sont les recommandations pour la fabrication de masques?,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",0.405
est-il possible qu'on manque de masque?,"Le port du couvre-visage est recommandé dans les lieux publics lorsque la distanciation physique n'est pas possible. Cela peut se produire, par exemple, en se rendant à l’épicerie ou en prenant le transport en commun. Le port du couvre-visage dans les lieux publics doit obligatoirement s’accompagner des autres mesures de protection, comme l’application des mesures d’hygiène et de distanciation physique.
Si vous êtes malade, restez à la maison. Si vous devez vous rendre à la clinique ou à l’hôpit [...]",0.25
"ma soeur a appris qu'elle a la covid hier et je l'ai vue voici 10 jours, suis-je infecté?","Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de quelques heures à plusieurs jours. Cela dépend notamment du type de surface (par exemple : cuivre, carton, acier inoxydable, plastique), de la température et de l’humidité ambiante.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
 [...]",0.47
quelle partie de mon corps dois-je laver pour éviter d'attraper la covid?,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.441
je vais où pour me faire tester?,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.156
Je peux tu organiser un souper d'amis,"Misez sur des stratégies de socialisation à distance, qui vous aideront à maintenir et même augmenter les liens avec vos proches en utilisant des moyens de communication alternatifs.
Il ne faut pas minimiser les effets positifs de la socialisation à distance, puisque le maintien de vos relations sociales a un impact positif sur votre santé physique et psychologique dans chaque étape de la vie.
Par exemple, vous pouvez utiliser des moyens de communication directs, indirects ou encore vous montrer [...]",0.763
je veux parler à une infirmiere,"Depuis le 13 mars 2020, les visites dans les CHSLD sont interdites afin de protéger les personnes les plus vulnérables ainsi que les travailleuses et travailleurs du réseau de la santé et des services sociaux, sauf pour des raisons humanitaires.
Ainsi, dans le cas de la fin de vie imminente, la présence d’une ou deux personnes significatives auprès de la personne est permise.",0.261
puis je recevoir ma famille a souper,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.459
coiffure,"Il est de la responsabilité du propriétaire de l’établissement de prendre les mesures qu'il juge nécessaires pour préserver la santé publique dans son restaurant ou de son épicerie.
Toutefois, ce n’est pas parce qu’une personne tousse qu’elle est infectée par le virus. Nous comptons sur le civisme et l’honnêteté des citoyens pour respecter les consignes de santé publique en cas de doute ou de contamination.",0.656
ai-je plus de chance dattraper la covid le jour ou la nuit?,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de :
*   3 heures sur les objets avec surfaces sèches;
*   6 jours sur les objets avec surfaces humides.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
*   Pour nettoyer, utilisez de l’eau et du savon ou des produits de nettoyage a [...]",0.431
"puis-je sortir ma grand-mère du chsld
","Depuis le 13 mars 2020, les visites dans les CHSLD sont interdites afin de protéger les personnes les plus vulnérables ainsi que les travailleuses et travailleurs du réseau de la santé et des services sociaux, sauf pour des raisons humanitaires.
Ainsi, dans le cas de la fin de vie imminente, la présence d’une ou deux personnes significatives auprès de la personne est permise.",0.342
est-ce que c'est dangereux d'aller à l'épicerie?,"**Réseau scolaire, public et privé**
Les établissements préscolaires et primaires reprendront graduellement leurs activités à compter du 11 mai dans l’ensemble des régions du Québec, à l’exception des écoles situées sur le territoire de la [Communauté métropolitaine de Montréal (CMM)](https://cmm.qc.ca/a-propos/territoires-et-municipalites/) , qui ouvriront le 19 mai, si la situation sanitaire le permet. Le retour en classe se fera sur une base volontaire.
Les écoles secondaires resteront fermée [...]",0.215
est-ce que les moustiques propagent le covid-19,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de quelques heures à plusieurs jours. Cela dépend notamment du type de surface (par exemple : cuivre, carton, acier inoxydable, plastique), de la température et de l’humidité ambiante.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
 [...]",0.287
Est-ce que les restaurants vont ouvrir sous peu?,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",1
soutien à domicile?,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.528
comment utiliser correctement un masque?,"Le port du couvre-visage est recommandé dans les lieux publics lorsque la distanciation physique n'est pas possible. Cela peut se produire, par exemple, en se rendant à l’épicerie ou en prenant le transport en commun. Le port du couvre-visage dans les lieux publics doit obligatoirement s’accompagner des autres mesures de protection, comme l’application des mesures d’hygiène et de distanciation physique. Pour en savoir plus, consultez la section [Consignes sanitaire pour tous](https://www.quebec. [...]",0.688
comment s’impliquer dans le combat?,"**Réseau scolaire, public et privé**
Les établissements préscolaires et primaires reprendront graduellement leurs activités à compter du 11 mai dans l’ensemble des régions du Québec, à l’exception des écoles situées sur le territoire de la [Communauté métropolitaine de Montréal (CMM)](https://cmm.qc.ca/a-propos/territoires-et-municipalites/) , qui ouvriront le 19 mai, si la situation sanitaire le permet. Le retour en classe se fera sur une base volontaire.
Les écoles secondaires resteront fermée [...]",0.192
Es-tu un robot ou un humain?,"Je suis un agent virtuel, un robot. Je ne suis pas un humain.",1
est-ce risqué de prendre le transport en commun?,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.936
aller à l'école chercher les trucs de mon enfant,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.398
où puis-je aller passer un test pour le covid-19?,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.277
est-ce que j'ai le droit d'aller visiter la demeure de mes amis?,Oui. Les établissements de santé tolèrent les visites en cas de situations exceptionnelles ou humanitaires. Le gouvernement du Québec interdit les visites non essentielles.,0.192
quand est-ce que les cours de conduite pourront reprendre?,"Les épreuves ministérielles n’auront pas lieu. En effet, tous les apprentissages prévus au programme n’ont pu être couverts en raison de la crise sanitaire qui a entraîné la suspension des services éducatifs durant une période considérable.",0.457
"Location de chalets, Airbnb et autres","Seuls les travaux en vue de la prise de possession d’une unité d’habitation résidentielle sont permis. Par ailleurs, la location de chalets et autres habitations de villégiature semblables n’est toujours pas permise. Par « prise de possession », on entend :",1
les commerces sont-ils ouverts le dimanche ?,"Concernant les **lieux de cultes**, tous les rassemblements religieux de quelque confession que ce soit devront idéalement être suspendus, à moins d'être essentiels. Dans ce cas, la distanciation physique devra être observée.",0.561
combien de temps dure les symptômes,"Les employeurs sont invités à faire preuve de souplesse dans les horaires de travail de leur personnel, de façon, par exemple, à limiter les foules présentes dans le transport en commun aux heures de pointe.
Dans l’objectif d’éviter d’engorger les hôpitaux, le gouvernement du Québec demande aux employeurs de ne pas demander de billets de médecin à leur personnel devant se placer en isolement.
Lorsque possible, les employeurs sont également invités à favoriser le télétravail.",0.609
"j'ai des antécédents asthmatique, suis-je à risque ?","Les principaux symptômes de la COVID‑19 sont les suivants :
*   fièvre :
    *   chez l’enfant : 38 °C (100,4 °F) et plus (température rectale),
    *   chez l’adulte : 38 °C (100,4 °F) et plus (température buccale),
    *   chez la personne aînée : 37,8 °C (100 °F) et plus (température buccale),
    *   ou 1,1 °C de plus que la valeur habituelle d’une personne;
*   apparition ou aggravation d’une toux;
*   difficultés respiratoires;
*   chez l’enfant : 38 °C (100,4 °F) et plus (température rect [...]",0.585
robot il question simple trop compliqué pour toi,Désolé. Je ne suis pas un robot de conversation. Mon rôle est de répondre le plus efficacement possible à vos questions sur la COVID-19.,0.716
est-ce que je dois payer la garderie après le 22 juin?,"Non. Seuls les travaux en vue de la prise de possession d’une unité d’habitation résidentielle sont permis. Par ailleurs, la location de chalets et autres habitations de villégiature semblables n’est toujours pas permise. Par « prise de possession », on entend :",0.312
taux de survie à la covid-19?,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de :
*   3 heures sur les objets avec surfaces sèches;
*   6 jours sur les objets avec surfaces humides.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
*   Pour nettoyer, utilisez de l’eau et du savon ou des produits de nettoyage a [...]",0.346
est-ce que le déconfinement est commencé?,"**Réseau scolaire, public et privé**
Les établissements préscolaires et primaires reprendront graduellement leurs activités à compter du 11 mai dans l’ensemble des régions du Québec, à l’exception des écoles situées sur le territoire de la [Communauté métropolitaine de Montréal (CMM)](https://cmm.qc.ca/a-propos/territoires-et-municipalites/) , qui ouvriront le 19 mai, si la situation sanitaire le permet. Le retour en classe se fera sur une base volontaire.
Les écoles secondaires resteront fermée [...]",0.156
est-ce que je peux célébrer mariage dans un bureau de notaire avec deux témoins et futurs mariés.,"En cas de nécessité. Cependant, dans la mesure du possible, il est préférable d’éviter de les amener à l’intérieur des commerces.",0.288
puis-je avoir mon permis de conduire ?,Les épreuves ministérielles n’auront pas lieu. Le passage des élèves au niveau suivant sera basé sur le jugement professionnel de l’enseignant de l’élève en fonction des résultats des deux premières étapes.,0.385
combien de temps dure les suymptônes,"Les employeurs sont invités à faire preuve de souplesse dans les horaires de travail de leur personnel, de façon, par exemple, à limiter les foules présentes dans le transport en commun aux heures de pointe.
Dans l’objectif d’éviter d’engorger les hôpitaux, le gouvernement du Québec demande aux employeurs de ne pas demander de billets de médecin à leur personnel devant se placer en isolement.
Lorsque possible, les employeurs sont également invités à favoriser le télétravail.",0.468
"je pense que j'ai un choc traumatique à cause du covid-19, je fais quoi?","Les principaux symptômes de la COVID‑19 sont les suivants :
*   fièvre :
    *   chez l’enfant : 38 °C (100,4 °F) et plus (température rectale),
    *   chez l’adulte : 38 °C (100,4 °F) et plus (température buccale),
    *   chez la personne aînée : 37,8 °C (100 °F) et plus (température buccale),
    *   ou 1,1 °C de plus que la valeur habituelle d’une personne;
*   apparition ou aggravation d’une toux;
*   difficultés respiratoires;
*   chez l’enfant : 38 °C (100,4 °F) et plus (température rect [...]",0.685
quelles sont les nouvelles consignes concernant les rassemblements extérieurs? ,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.312
peux-t-on faire du vélo,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.384
"je dois me rendre au saguenay, est-ce que je peux?","Dans un contexte de pandémie, de nombreuses personnes vivront des réactions de stress, d’anxiété et de déprime. Pour vous aider à minimiser les répercussions de telles réactions dans votre vie, consultez la page [Stress, anxiété et déprime associés à la maladie à coronavirus COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/stress-anxiete-et-deprime-associes-a-la-maladie-a-coronavirus-covid-19/).
Aucun traitement spécifique ni vaccin n’existe pour la COVID‑19. Des tra [...]",0.139
mon gym est fermé. ai-je droit à un remboursement?,"**Réseau scolaire, public et privé**
Les établissements préscolaires et primaires reprendront graduellement leurs activités à compter du 11 mai dans l’ensemble des régions du Québec, à l’exception des écoles situées sur le territoire de la [Communauté métropolitaine de Montréal (CMM)](https://cmm.qc.ca/a-propos/territoires-et-municipalites/) , qui ouvriront le 19 mai, si la situation sanitaire le permet. Le retour en classe se fera sur une base volontaire.
Les écoles secondaires resteront fermée [...]",0.469
comment va se faire l'ouverture des écoles,"Ces changements sont en vigueur et seront réévalués au 31 mai 2020. Le gouvernement du Québec invite la population à rester à l’affût.
Les pharmacies, les épiceries et les autres commerces d’alimentation ainsi que les établissements offrant des services d’épicerie ou de pharmacie en dehors des centres commerciaux pourront continuer d’étendre leurs heures d’ouverture au-delà des périodes légales du lundi au samedi jusqu’au 31 mai 2020. Aucune restriction quant au nombre d’employés présents pour a [...]",0.333
pouvons être plusieurs dans la même voiture pour se deplacer,"Les services de transport en commun demeurent opérationnels et représentent un service essentiel pour permettre, notamment, au personnel du réseau de la santé et des services sociaux de se déplacer.
Les sociétés de transport du Québec ont accentué la fréquence de l’entretien de leurs véhicules et installations.
Les usagers sont tout de même invités à appliquer les consignes sanitaires habituelles et à conserver, dans la mesure du possible, une distance de deux mètres avec les autres personnes pr [...]",0.351
comment se prend la température? ,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.497
quels sont les pouvoirs du gouvernement en cas d’urgence sanitaire?,"Une transcription intégrale des conférences et points de presse tenus dans les édifices de l’Assemblée nationale est disponible.
[Consulter les transcriptions sur le site de l'Assemblée nationale](http://www.assnat.qc.ca/fr/actualites-salle-presse/conferences-points-presse/)",0.289
est-il permis de faire un rassemblement extérieur si on respecte les deux mètres de distance?,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.477
comment je peux savoir si je peux avoir l'aide d'urgence?,"*   [Soutenir le réseau de la santé](https://jecontribuecovid19.gouv.qc.ca/) 
*   [Participer à une étude clinique pour le traitement des personnes testées positives à la COVID-19](https://www.colcorona.org/) 
*   [Soutenir le réseau des services de garde éducatifs à l'enfance](https://www.quebec.ca/famille-et-soutien-aux-personnes/servicesgardeeducatifsenfance-covid19/#c58397)
*   [Donnez du sang](https://www.hema-quebec.qc.ca/index.fr.html) 
*   [Devenir bénévole](https://www.jebenevole.ca/)",0.173
est-ce que les règles pour montréal s'appliquent aussi à la rive sud?,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.175
"j'ai attrapé le covid-19, puis-je encore l'avoir?","Dans un contexte de pandémie, de nombreuses personnes vivront des réactions de stress, d’anxiété et de déprime. Pour vous aider à minimiser les répercussions de telles réactions dans votre vie, consultez la page [Stress, anxiété et déprime associés à la maladie à coronavirus COVID‑19](https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/stress-anxiete-et-deprime-associes-a-la-maladie-a-coronavirus-covid-19/).
Aucun traitement spécifique ni vaccin n’existe pour la COVID‑19. Des tra [...]",0.28
je suis en garde partagée. que faire?,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.315
"j'ai mal à la tête, que faire ?","Des médicaments en vente libre peuvent être utilisés pour soulager les symptômes de la maladie à coronavirus (COVID‑19). Avant d’en faire usage, lisez attentivement les étiquettes et respectez les doses recommandées. **Il est fortement recommandé de demander conseil à votre pharmacien** avant d’utiliser des médicaments en vente libre en présence de symptômes. Évitez de prendre en même temps des produits qui contiennent les mêmes ingrédients comme du Tylenol MD et du Tylenol sinus [...]",0.365
